NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
BP Moonee Vale,BP,181-183 Pascoe Vale Road,Moonee Ponds,Victoria,-37.7583739999999,144.92608
BP  Templestowe,BP,2-4 Union Street,Templestowe Lower,Victoria,-37.757019,145.114052
BP Rio Motors,BP,410-414 St Georges Road,Thornbury,Victoria,-37.75591,144.994455
BP Connect Caroline Springs,BP,1324-1332 Western Highway,Caroline Springs,Victoria,-37.755822,144.741173
BP  Heidelberg West,BP,184 Bell Street,Heidelberg Heights,Victoria,-37.7521159999999,145.049414
BP Essendon,BP,1092-1094 Mount Alexander Road,Essendon,Victoria,-37.7463769999999,144.912028
BP  Preston,BP,408 Bell Street,Preston,Victoria,-37.744337,144.998111
BP Kealba,BP,100 Sunshine Avenue,Kealba,Victoria,-37.7417429999999,144.826238
BP Southvale,BP,Cnr Rose and Bell Street,Coburg,Victoria,-37.739681,144.948058
BP Rockbank Truckstop,BP,Western Freeway,Rockbank,Victoria,-37.7390109999999,144.68035
BP  North Coburg,BP,989 Sydney Road,Coburg,Victoria,-37.725517,144.963342
BP Keilor Park Drive,BP,19 Keilor Park Drive,Keilor Park,Victoria,-37.7236139999999,144.849511
BP  Kingsbury,BP,917-929 Plenty Road,Kingsbury,Victoria,-37.719732,145.036724
BP  Reservoir,BP,35 Gisborne Crescent,Reservoir,Victoria,-37.718699,145.021752
BP 2Go Watsonia,BP,51-63 Watsonia Road,Watsonia,Victoria,-37.7106209999999,145.082381
BP Glenroy,BP,770 Pascoe Vale Road,Glenroy,Victoria,-37.707996,144.916703
BP Fawkner,BP,1210 Sydney Road,Fawkner,Victoria,-37.7069959999999,144.961408
BP Greenleigh,BP,131-135 Grimshaw Street,Greensborough,Victoria,-37.704577,145.099466
BP Connect Eltham,BP,Cnr Main Road and Beard Street,Eltham,Victoria,-37.704147,145.16054
BP Taylors Lakes,BP,25 Melton Highway,Taylors Lakes,Victoria,-37.7012799999999,144.796982
